ensembl_id,disease_efo_id,association_score
ENSG00000177000,EFO_1000809,0.010300465257854977
ENSG00000139734,OBA_VT0015043,0.2754197666043609
ENSG00000172482,EFO_0004541,0.022409123697166525
ENSG00000197405,EFO_0005803,0.006845460576098566
ENSG00000103044,MONDO_0008231,0.0014800995840213117
ENSG00000160200,EFO_0004340,0.29742209725465346
ENSG00000133895,EFO_0005717,0.03251038736302811
ENSG00000162692,MONDO_0100114,0.004070273856058606
ENSG00000154727,EFO_0004305,0.10837351962833236
ENSG00000019991,MONDO_0016060,0.017962137335686294
ENSG00000174748,MONDO_0100135,0.07400497920106557
ENSG00000134852,EFO_0004718,0.0014800995840213117
ENSG00000162692,EFO_0004142,0.006660448128095901
ENSG00000113580,MONDO_0011804,0.002220149376031967
ENSG00000029559,MONDO_0013615,0.03265839732143024
ENSG00000133895,MONDO_0017317,0.03502655665586434
ENSG00000113580,EFO_0004289,0.05771555821667102
ENSG00000171094,EFO_0005232,0.2775186720039959
ENSG00000026103,MONDO_0004985,0.010062621477478221
ENSG00000159899,MONDO_0009486,0.03066026288300147
ENSG00000065559,MONDO_0002026,0.007400497920106558
ENSG00000110944,MONDO_0014334,0.04035491515834106
ENSG00000152086,EFO_0002617,0.29258690804687953
ENSG00000196839,EFO_1001209,0.0051803485440745905
ENSG00000113580,EFO_0001376,0.022525265544324338
ENSG00000085224,MONDO_0044348,0.0014800995840213117
ENSG00000196839,Orphanet_277,0.8555485303274093
ENSG00000128645,MONDO_0007389,0.03570000196659403
ENSG00000117560,HP_0002032,0.004440298752063934
ENSG00000017427,EFO_0005773,0.003954743860750277
ENSG00000129219,EFO_0004142,0.0014800995840213117
ENSG00000110944,Orphanet_169446,0.06270030748932946
ENSG00000113580,MONDO_0003758,0.007400497920106558
ENSG00000186951,MONDO_0014789,0.030630660891321042
ENSG00000081052,EFO_0009805,0.04036859374212114
ENSG00000187098,MONDO_0016381,0.06636207771986831
ENSG00000181092,EFO_0006566,0.007215485472103895
ENSG00000132671,EFO_0000401,0.011200435446813787
ENSG00000165731,MONDO_0016294,0.06111697095932267
ENSG00000180530,EFO_0002616,0.0024544099931439363
ENSG00000165731,EFO_0000326,0.05550373440079918
ENSG00000197405,EFO_0006340,0.003700248960053279
ENSG00000187764,MONDO_0100281,0.047696209095086775
ENSG00000026103,EFO_0007990,0.2956311541611094
ENSG00000172482,EFO_0003884,0.014894691341922974
ENSG00000181092,MONDO_0007376,0.007400497920106558
ENSG00000113580,EFO_0006859,0.008767534341459575
ENSG00000104549,EFO_0007986,0.09114832121551991
ENSG00000163501,MONDO_0008618,0.03595161889587766
ENSG00000171786,MONDO_0024540,0.0531429755642852
ENSG00000113580,HP_0012115,0.017032233377244424
ENSG00000196549,OBA_VT0005416,0.2983187108473791
ENSG00000136826,EFO_0009449,0.002220149376031967
ENSG00000085224,MONDO_0018945,0.003700248960053279
ENSG00000114013,MONDO_0011569,0.045592617561296477
ENSG00000116117,OBA_2050062,0.19227893145481018
ENSG00000017427,MONDO_0017349,0.002220149376031967
ENSG00000117984,Orphanet_585,0.004440298752063934
ENSG00000132681,EFO_0005207,0.0037002489600532784
ENSG00000152086,EFO_0009708,0.29717278931385105
ENSG00000075043,EFO_0004247,0.0014800995840213117
ENSG00000181019,EFO_0006340,0.003700248960053279
ENSG00000109670,EFO_0000729,0.0744786729822418
ENSG00000128645,MONDO_0016558,0.038386382711592705
ENSG00000170558,EFO_0004906,0.039106198097994954
ENSG00000112115,EFO_0007405,0.0089533564811281
ENSG00000118046,HP_0100582,0.008880597504127868
ENSG00000019991,EFO_0007874,0.3195022496869124
ENSG00000110245,EFO_1001176,0.01924129459227705
ENSG00000107968,EFO_0000612,0.011840796672170494
ENSG00000137070,EFO_0000095,0.011840796672170494
ENSG00000187098,OBA_0004528,0.07247560088414597
ENSG00000196549,MONDO_0100319,0.011667838695531361
ENSG00000126262,HP_0040270,0.018729414233588863
ENSG00000171860,EFO_0003888,0.0014800995840213117
ENSG00000017427,EFO_1001312,0.02058886927966601
ENSG00000017427,MONDO_0009872,0.0014800995840213117
ENSG00000077782,EFO_1000478,0.01425890936756531
ENSG00000154727,MONDO_0001134,0.004234729365394308
ENSG00000171094,MONDO_0014172,0.03157052412717458
ENSG00000144908,EFO_0004509,0.27637088197197046
ENSG00000171094,EFO_0002939,0.054801580962707624
ENSG00000132965,EFO_0000712,0.029734644514022534
ENSG00000187098,MONDO_0008982,0.06489275083174367
ENSG00000196839,EFO_0001378,0.011961144962184742
ENSG00000110944,EFO_0007540,0.004797578346095745
ENSG00000165731,EFO_0006890,0.007770522816111886
ENSG00000165092,EFO_0801555,0.031269753049538246
ENSG00000186951,EFO_0022337,0.0947889040693464
ENSG00000187764,MONDO_0033554,0.03863799964087634
ENSG00000065559,EFO_1001927,0.0018501244800266394
ENSG00000144908,EFO_0009071,0.003700248960053279
ENSG00000085117,EFO_0004305,0.05252342743297208
ENSG00000171049,EFO_0003029,0.004440298752063934
