id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
HP:0002135,HP,HP:0002135,Basal ganglia calcification,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0008527,EFO,EFO:0008527,steatosis,efo,False,True,biolink:Disease,
EFO:0022236,EFO,EFO:0022236,cholesterol to total lipids in large VLDL percentage,efo,False,True,biolink:Disease,
OBA:2045223,OBA,OBA:2045223,myeloid leukocyte count,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001904,EFO,EFO:1001904,oral mucositis,efo,False,True,biolink:Disease,
HP:0001732,HP,HP:0001732,Abnormality of the pancreas,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0007834,EFO,EFO:0007834,liver dysplastic nodule,efo,False,True,biolink:Disease,
EFO:0009594,EFO,EFO:0009594,irritability measurement,efo,False,True,biolink:Disease,
OBA:VT0000047,OBA,OBA:VT0000047,head circumference,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001326,EFO,EFO:1001326,Flavivirus Infections,efo,False,True,biolink:Disease,
OBA:VT0000217,OBA,OBA:VT0000217,leukocyte quantity,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001836,EFO,EFO:1001836,pyogenic liver abscess,efo,False,True,biolink:Disease,
OBA:VT0015043,OBA,OBA:VT0015043,milk amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004340,EFO,EFO:0004340,body mass index,efo,False,True,biolink:Disease,
EFO:0004305,EFO,EFO:0004305,erythrocyte count,efo,False,True,biolink:Disease,
HP:0002032,HP,HP:0002032,Esophageal atresia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
Orphanet:169446,Orphanet,Orphanet:169446,Autosomal recessive hyper-IgE syndrome,efo,False,True,biolink:Disease,
EFO:0009805,EFO,EFO:0009805,whole body water mass,efo,False,True,biolink:Disease,
EFO:0006566,EFO,EFO:0006566,dysplastic oral keratinocyte,efo,False,True,biolink:Disease,
EFO:0002616,EFO,EFO:0002616,macroglobulinemia,efo,False,True,biolink:Disease,
EFO:0006340,EFO,EFO:0006340,mean arterial pressure,efo,False,True,biolink:Disease,
EFO:0007990,EFO,EFO:0007990,neutrophil percentage of leukocytes,efo,False,True,biolink:Disease,
HP:0012115,HP,HP:0012115,Hepatitis,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:VT0005416,OBA,OBA:VT0005416,blood protein amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:2050062,OBA,OBA:2050062,serum alanine aminotransferase amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009708,EFO,EFO:0009708,metastasis,efo,False,True,biolink:Disease,
HP:0100582,HP,HP:0100582,Nasal polyposis,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:0004528,OBA,OBA:0004528,fat pad mass,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0040270,HP,HP:0040270,Impaired glucose tolerance,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004509,EFO,EFO:0004509,hemoglobin measurement,efo,False,True,biolink:Disease,
EFO:0007540,EFO,EFO:0007540,animal viral hepatitis,efo,False,True,biolink:Disease,
EFO:0801555,EFO,EFO:0801555,E3 ubiquitin-protein ligase RNF128 measurement,efo,False,True,biolink:Disease,
EFO:0022337,EFO,EFO:0022337,triglycerides to total lipids in small LDL percentage,efo,False,True,biolink:Disease,
EFO:1001927,EFO,EFO:1001927,cutaneous squamous cell carcinoma,efo,False,True,biolink:Disease,
EFO:0009071,EFO,EFO:0009071,"obsolete_malignant hyperthermia, susceptibility to, 1",efo,True,True,biolink:Disease,
