source_id,mondo_id,prefix,normalized,status
EFO:0004305,,EFO,False,unmapped
MONDO:0016060,MONDO:0016060,MONDO,False,already_mondo
MONDO:0100135,MONDO:0100135,MONDO,False,already_mondo
EFO:0004718,MONDO:0004648,EFO,True,mapped
MONDO:0011804,MONDO:0011804,MONDO,False,already_mondo
MONDO:0013615,MONDO:0013615,MONDO,False,already_mondo
MONDO:0017317,MONDO:0017317,MONDO,False,already_mondo
EFO:0004289,MONDO:0005402,EFO,True,mapped
EFO:0005232,MONDO:0005461,EFO,True,mapped
MONDO:0004985,MONDO:0004985,MONDO,False,already_mondo
MONDO:0009486,MONDO:0009486,MONDO,False,already_mondo
MONDO:0002026,MONDO:0002026,MONDO,False,already_mondo
MONDO:0014334,MONDO:0014334,MONDO,False,already_mondo
EFO:0002617,MONDO:0005191,EFO,True,mapped
EFO:1001209,MONDO:0008538,EFO,True,mapped
MONDO:0044348,MONDO:0044348,MONDO,False,already_mondo
Orphanet:277,MONDO:0007064,Orphanet,True,mapped
MONDO:0007389,MONDO:0007389,MONDO,False,already_mondo
HP:0002032,,HP,False,skipped_prefix
EFO:0005773,MONDO:0008375,EFO,True,mapped
Orphanet:169446,,Orphanet,False,unmapped
MONDO:0003758,MONDO:0003758,MONDO,False,already_mondo
MONDO:0014789,MONDO:0014789,MONDO,False,already_mondo
EFO:0009805,,EFO,False,unmapped
MONDO:0016381,MONDO:0016381,MONDO,False,already_mondo
EFO:0006566,,EFO,False,unmapped
MONDO:0016294,MONDO:0016294,MONDO,False,already_mondo
EFO:0002616,,EFO,False,unmapped
EFO:0000326,MONDO:0002714,EFO,True,mapped
EFO:0006340,,EFO,False,unmapped
MONDO:0100281,MONDO:0100281,MONDO,False,already_mondo
EFO:0007990,,EFO,False,unmapped
EFO:0003884,MONDO:0005300,EFO,True,mapped
MONDO:0007376,MONDO:0007376,MONDO,False,already_mondo
EFO:0006859,MONDO:0005627,EFO,True,mapped
MONDO:0008618,MONDO:0008618,MONDO,False,already_mondo
MONDO:0024540,MONDO:0024540,MONDO,False,already_mondo
HP:0012115,,HP,False,skipped_prefix
OBA:VT0005416,,OBA,False,skipped_prefix
EFO:0009449,MONDO:0003085,EFO,True,mapped
MONDO:0018945,MONDO:0018945,MONDO,False,already_mondo
MONDO:0011569,MONDO:0011569,MONDO,False,already_mondo
OBA:2050062,,OBA,False,skipped_prefix
MONDO:0017349,MONDO:0017349,MONDO,False,already_mondo
Orphanet:585,MONDO:0010088,Orphanet,True,mapped
EFO:0005207,MONDO:0005453,EFO,True,mapped
EFO:0009708,,EFO,False,unmapped
